date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST
1989-10-27,44.3125,44.359375,44.09375,44.171875
1989-10-30,44.1875,44.21875,44.09375,44.21875
1989-10-31,44.3125,44.34375,44.171875,44.203125
1989-11-01,44.203125,44.3125,44.171875,44.296875
1989-11-02,44.328125,44.40625,44.296875,44.375
1989-11-03,44.390625,44.40625,43.984375,44.1875
1989-11-06,44.09375,44.140625,43.953125,44.046875
1989-11-07,44.046875,44.390625,44.046875,44.375
1989-11-08,44.359375,44.484375,44.296875,44.46875
1989-11-09,44.46875,44.578125,44.3125,44.34375
1989-11-10,44.34375,44.390625,44.296875,44.34375
1989-11-13,44.3125,44.375,44.1875,44.328125
1989-11-14,44.390625,44.46875,44.3125,44.375
1989-11-15,44.40625,44.578125,44.390625,44.53125
1989-11-16,44.5625,44.703125,44.421875,44.53125
1989-11-17,44.46875,44.53125,44.296875,44.3125
1989-11-20,44.4375,44.5,44.3125,44.328125
1989-11-21,44.296875,44.4375,44.234375,44.40625
1989-11-22,44.421875,44.609375,44.359375,44.53125
1989-11-24,44.5625,44.640625,44.546875,44.59375
1989-11-27,44.5625,44.609375,44.34375,44.40625
1989-11-28,44.4375,44.453125,44.3125,44.390625
1989-11-29,44.359375,44.375,44.28125,44.296875
1989-11-30,44.328125,44.421875,44.296875,44.40625
1989-12-01,44.421875,44.53125,44.40625,44.5
1989-12-04,44.484375,44.515625,44.421875,44.5
1989-12-05,44.46875,44.53125,44.4375,44.484375
1989-12-06,44.484375,44.53125,44.375,44.40625
1989-12-07,44.390625,44.40625,44.265625,44.296875
1989-12-08,44.296875,44.5,44.140625,44.4375
1989-12-11,44.421875,44.4375,44.390625,44.40625
1989-12-12,44.40625,44.453125,44.390625,44.40625
1989-12-13,44.390625,44.453125,44.359375,44.453125
1989-12-14,44.453125,44.578125,44.4375,44.5625
1989-12-15,44.578125,44.65625,44.484375,44.53125
1989-12-18,44.53125,44.6875,44.515625,44.65625
1989-12-19,44.640625,44.65625,44.546875,44.59375
1989-12-20,44.609375,44.703125,44.59375,44.609375
1989-12-21,44.625,44.625,44.546875,44.5625
1989-12-22,44.578125,44.578125,44.359375,44.40625
1989-12-26,44.40625,44.40625,43.90625,43.984375
1989-12-27,44.09375,44.109375,43.9375,44.015625
1989-12-28,44.03125,44.140625,44.0,44.125
1989-12-29,44.078125,44.25,43.96875,44.046875
1990-01-02,44.0,44.140625,43.9375,44.0
1990-01-03,43.984375,44.03125,43.875,43.90625
1990-01-04,43.890625,44.03125,43.875,43.9375
1990-01-05,43.953125,44.109375,43.859375,43.921875
1990-01-08,43.890625,43.921875,43.8125,43.859375
1990-01-09,43.890625,43.9375,43.8125,43.84375
1990-01-10,43.828125,43.890625,43.734375,43.828125
1990-01-11,43.90625,43.921875,43.8125,43.8125
1990-01-12,43.6875,43.796875,43.578125,43.703125
1990-01-15,43.59375,43.671875,43.453125,43.484375
1990-01-16,43.46875,43.578125,43.3125,43.390625
1990-01-17,43.40625,43.46875,43.359375,43.40625
1990-01-18,43.203125,43.40625,43.015625,43.0625
1990-01-19,43.21875,43.21875,43.0,43.21875
1990-01-22,43.265625,43.296875,43.15625,43.203125
1990-01-23,43.15625,43.28125,43.109375,43.265625
1990-01-24,42.90625,43.0,42.875,42.96875
1990-01-25,43.046875,43.109375,42.84375,42.859375
1990-01-26,42.921875,42.9375,42.59375,42.640625
1990-01-29,42.6875,42.71875,42.625,42.640625
1990-01-30,42.578125,42.6875,42.390625,42.578125
1990-01-31,42.5,42.859375,42.421875,42.84375
1990-02-01,42.90625,43.0,42.75,42.890625
1990-02-02,42.859375,42.90625,42.640625,42.6875
1990-02-05,42.609375,42.65625,42.53125,42.609375
1990-02-06,42.53125,42.625,42.421875,42.5
1990-02-07,42.3125,42.515625,42.296875,42.515625
1990-02-08,42.53125,42.8125,42.484375,42.671875
1990-02-09,42.84375,43.15625,42.78125,43.109375
1990-02-12,43.09375,43.203125,42.859375,42.875
1990-02-13,42.90625,43.046875,42.796875,43.015625
1990-02-14,43.046875,43.109375,42.953125,42.984375
1990-02-15,42.953125,42.96875,42.734375,42.75
1990-02-16,42.8125,42.890625,42.71875,42.796875
1990-02-20,42.484375,42.546875,42.15625,42.25
1990-02-21,42.25,42.34375,42.046875,42.265625
1990-02-22,42.25,42.53125,42.15625,42.5
1990-02-23,42.5,42.640625,42.40625,42.484375
1990-02-26,42.53125,42.71875,42.46875,42.703125
1990-02-27,42.75,42.875,42.6875,42.875
1990-02-28,42.8125,42.859375,42.546875,42.5625
1990-03-01,42.546875,42.609375,42.3125,42.34375
1990-03-02,42.390625,42.625,42.34375,42.453125
