,"Fast LS(5,21)","Medium-Fast LS(10,63)","Medium LS(20,126)","Slow LS(20,252)"
1968-05-15,0.37643883413285617,1.0290411959656571,1.1025326247409697,1.0460381405904104
1968-05-16,0.37890939633701126,1.0340755424251984,1.1086585025880342,1.0517355181968526
1968-05-17,0.37926109121892404,1.0357459531402795,1.1114178289288468,1.0547330402796171
1968-05-20,0.381942159397253,1.0428330595528161,1.1191883172103685,1.0614991935599656
1968-05-21,0.3840112955181413,1.0476817088426382,1.1249816866972102,1.0676347208879589
1968-05-22,0.38178720604046035,1.0428394863806856,1.1208700856119107,1.0650829487486355
1968-05-23,0.3787536855306232,1.0351175843292753,1.1127063100609376,1.0578442779003279
1968-05-24,0.3769831460775135,1.0325593538515354,1.1104867751926928,1.055955156524214
1968-05-27,0.3738097569031337,1.0254051192507376,1.102730512504138,1.0483092130229321
1968-05-28,0.37505921512780904,1.0297107208200031,1.1067058825077343,1.0513388062945745
1968-05-29,0.3741885404981386,1.0297345966353184,1.1077203257559511,1.0530337217990093
1968-05-30,0.3739618823001412,1.0289038794904413,1.1064999743411836,1.0517788831545636
1968-05-31,0.3692306543066812,1.0189622892589563,1.096082895296368,1.042191310348093
1968-06-03,0.3680340869589998,1.0202499236777662,1.0968131695389738,1.0420271539576036
1968-06-04,0.36654728423098076,1.0230762573868866,1.101547833640376,1.0472548887454285
1968-06-05,0.3661559077839945,1.0259960167363158,1.1056969361601765,1.0521695673169065
1968-06-06,0.36455863868975336,1.022485778374952,1.1040024500519336,1.0519729996983451
1968-06-07,0.3652692670404608,1.02779190955417,1.1092285814381027,1.0559934312929093
1968-06-10,0.3683953936710831,1.0345396018942405,1.1131427570878425,1.0593903360328796
1968-06-11,0.369981612305463,1.0393153575059138,1.115756471721917,1.0610140487512356
1968-06-12,0.3689440379032391,1.0331785565033325,1.1094041489722004,1.0554340777574833
1968-06-13,0.3709549855947176,1.0375556810092028,1.1115462271548477,1.0570682690439064
1968-06-14,0.3736916521550458,1.0399483298580552,1.1088176916434866,1.053935636227033
1968-06-17,0.3745290947819156,1.0425667967464325,1.1105580237500363,1.0553132959111886
1968-06-18,0.3737149922567247,1.0418502856283107,1.1112499118028167,1.0565792608445352
1968-06-19,0.37505207525635537,1.039934346479929,1.1041445898998377,1.0498085823725976
1968-06-20,0.37889040705160787,1.0487561097748928,1.1074208043315559,1.0506088988080238
1968-06-21,0.38063366496404133,1.051500517962303,1.1060811166949367,1.0487875320897182
1968-06-24,0.38033162382620217,1.0536558866925831,1.111573314016658,1.0536685764162734
1968-06-25,0.3794746063854744,1.0560317755274378,1.1224140923213142,1.0652384266806179
1968-06-26,0.38052820623331324,1.0618467329707144,1.1310049550169954,1.0723808395807228
1968-06-27,0.3792813820974357,1.0590334923888391,1.1276799705006757,1.0698271294515556
1968-06-28,0.3798636079075544,1.0605094054155881,1.1282155893403816,1.0695974216331738
1968-07-01,0.3793841337688676,1.059166732456891,1.1253208519418185,1.0663367622898468
1968-07-02,0.38150195695380945,1.0642887523671254,1.1290392123187156,1.0669436344808694
1968-07-03,0.38212960443790744,1.0681985322031813,1.1354006751675756,1.0718271285760652
1968-07-04,0.38090482648225393,1.0654493987919262,1.1318706478041272,1.0688264955833986
1968-07-05,0.38200400909293114,1.0685207133743404,1.1357481888087118,1.0716894282528282
1968-07-08,0.38583550893840446,1.0786872784920876,1.1473898879707882,1.07857400107952
1968-07-09,0.3851645927517185,1.0753613336303607,1.1409921475716187,1.0718606853638186
1968-07-10,0.38345017150507904,1.0718079571483543,1.1374334094606422,1.0696577686825777
1968-07-11,0.3833122379646067,1.072350726067279,1.1395784643520235,1.0718708949326197
1968-07-12,0.38243261721868405,1.0705930046214014,1.1385677827196963,1.0719288698112057
1968-07-15,0.3799966698823551,1.0638753937043584,1.131562132548283,1.0679520437155214
1968-07-16,0.37982259468028146,1.0649890745658932,1.1355940358483274,1.0745823035810766
1968-07-17,0.3801057611294056,1.0647299313310483,1.131977502765203,1.0681539998301333
1968-07-18,0.37981889063075974,1.0633211062128143,1.129779068281967,1.0658786045152409
1968-07-19,0.38089318424332863,1.0659038341200422,1.1300011478293197,1.0627989159160431
1968-07-22,0.38181791001429893,1.0720918830268187,1.1344469050048778,1.0602456619613754
1968-07-23,0.38463010344565446,1.0785573210442234,1.1379315918606834,1.057674016477989
1968-07-24,0.38224440389385644,1.0740846087541904,1.1330396834417553,1.0536461784064437
1968-07-25,0.38265402819481475,1.0738708662587042,1.1324689960495025,1.0520237759043287
1968-07-26,0.38159405365152343,1.0722924343373548,1.1320533955734955,1.0531126669227595
1968-07-29,0.3816668331263073,1.0736568883092268,1.136910995635903,1.0612735904068022
1968-07-30,0.38137214049242696,1.0758294130176973,1.1424993450738468,1.0697521327071473
1968-07-31,0.3816318892651962,1.0773790785518704,1.1440360715247544,1.069629770622195
1968-08-01,0.38469176259553206,1.0834762323276024,1.1484097219651856,1.0700304751279752
1968-08-02,0.38767475198910784,1.0894227000551369,1.1526815015992178,1.0705431294663181
1968-08-05,0.38680420544394906,1.0874701254129155,1.1544571166497515,1.0769275792317579
1968-08-06,0.38478314829390925,1.084780470559321,1.1538190747540131,1.0794376279128297
1968-08-07,0.3867485173766245,1.0905399991208944,1.1594924821994197,1.082634554071567
1968-08-08,0.3849476775233382,1.0873526121539028,1.1557370682959933,1.0796517680783053
1968-08-09,0.3841943939946233,1.0876930595786718,1.1584479987593657,1.0851512447945346
1968-08-12,0.38260018032337423,1.086430835492512,1.1623086788916965,1.0953825205119678
1968-08-13,0.37892698475458725,1.0831998624523937,1.1611395929294634,1.0958025463200192
1968-08-14,0.3780917477490342,1.0821156881086473,1.1591540107586924,1.093191109336052
1968-08-15,0.3763575306060802,1.078062551239619,1.1546358858625894,1.0904651618370642
1968-08-16,0.37598499031692845,1.0808927354365176,1.156244626302799,1.0884597005014254
1968-08-19,0.3728654005614656,1.0732105749656176,1.144992928277382,1.0747333900296179
1968-08-20,0.3726844185747937,1.0740345992238365,1.1460280738234618,1.0758069040967575
1968-08-21,0.37144474826565016,1.067489505980234,1.1380418600407287,1.067860093996215
1968-08-22,0.3769438669924656,1.0705320138627055,1.141218660298664,1.0756154250645156
1968-08-23,0.3759823417228627,1.0718972607716442,1.140922816404172,1.0723952561319343
1968-08-26,0.3771130924454851,1.0797065738232714,1.1501144517154134,1.0813245737490789
1968-08-27,0.3795602388797241,1.0800883573058797,1.1482166014739252,1.078792803005066
1968-08-28,0.3829994934155617,1.0832312635468906,1.147012831505286,1.074593465471487
1968-08-29,0.3829822657895172,1.0916818403133932,1.1577046095856058,1.085268644215801
1968-08-30,0.3825243463829832,1.0959287160907258,1.1616539335043152,1.0861451532434088
1968-09-02,0.382987647708226,1.0981350181175655,1.163303375409533,1.0865895491653825
1968-09-03,0.38572952433628405,1.100357319439148,1.161759236803453,1.0823561130019768
1968-09-04,0.3862268477857391,1.0982222894376545,1.157884382146882,1.079385425158341
1968-09-05,0.38852474079458066,1.1000572658996897,1.1599969904295258,1.0850231530281593
1968-09-06,0.3894728184874618,1.0993124201001785,1.1583815916581433,1.0854151702537456
1968-09-09,0.39300250210532806,1.1051555588161845,1.161268561401219,1.0882159159236173
1968-09-10,0.3923556580125297,1.1055551224100746,1.162448551310155,1.092446674720737
1968-09-11,0.3929955081609818,1.1096371367721232,1.1652116654596587,1.0928863656078323
1968-09-12,0.3902376655745885,1.0998455590163139,1.1568563288691611,1.084556420106746
1968-09-13,0.3883427598983629,1.0984236454166176,1.1569050165765604,1.08261316037784
