,"Ultra-Slow LS(20,504)"
1994-06-22,4.301371446796304
1994-06-23,4.279668360135982
1994-06-24,4.260064020974594
1994-06-27,4.239241667026523
1994-06-28,4.246011777419776
1994-06-29,4.249030989707619
1994-06-30,4.227849826653035
1994-07-01,4.227509584687959
1994-07-04,4.210950906600874
1994-07-05,4.190883097623355
1994-07-06,4.196573680594609
1994-07-07,4.200903926319623
1994-07-08,4.219446130070423
1994-07-11,4.251398182892219
1994-07-12,4.267323303479597
1994-07-13,4.246622022858451
1994-07-14,4.216145353694407
1994-07-15,4.25549619213025
1994-07-18,4.248982172161507
1994-07-19,4.213365627460857
1994-07-20,4.225907646134064
1994-07-21,4.187679923968037
1994-07-22,4.20423434151092
1994-07-25,4.212197619042927
1994-07-26,4.232280040866269
1994-07-27,4.245929392092054
1994-07-28,4.228055707549848
1994-07-29,4.266887482112647
1994-08-01,4.324192414222645
1994-08-02,4.316942177079517
1994-08-03,4.307592776047364
1994-08-04,4.324386469208768
1994-08-05,4.352595373158551
1994-08-08,4.315371770252689
1994-08-09,4.305320044068452
1994-08-10,4.325157823990997
1994-08-11,4.386297664021995
1994-08-12,4.416324996089465
1994-08-15,4.4235936532962885
1994-08-16,4.432190121820041
1994-08-17,4.4227758822804555
1994-08-18,4.473877997281928
1994-08-19,4.4861148349033195
1994-08-22,4.498293140922469
1994-08-23,4.4938736585299806
1994-08-24,4.497987352885191
1994-08-25,4.510767412738312
1994-08-26,4.490003047134227
1994-08-29,4.528265853619038
1994-08-30,4.541261529084877
1994-08-31,4.563956860473409
1994-09-01,4.579680818878789
1994-09-02,4.615916460780759
1994-09-05,4.599271493656091
1994-09-06,4.642090237013054
1994-09-07,4.6787174338536355
1994-09-08,4.665153015059316
1994-09-09,4.6941107608071295
1994-09-12,4.681964569042438
1994-09-13,4.681804123397368
1994-09-14,4.70316248802991
1994-09-15,4.7043870189537165
1994-09-16,4.7656574529541045
1994-09-19,4.735996483804732
1994-09-20,4.737730005512041
1994-09-21,4.716731494897774
1994-09-22,4.6995759418891145
1994-09-23,4.709778679442917
1994-09-26,4.691445927803354
1994-09-27,4.6974873987225125
1994-09-28,4.66020119294357
1994-09-29,4.658937252813156
1994-09-30,4.658247029022362
1994-10-03,4.6695107845401305
1994-10-04,4.673867642689738
1994-10-05,4.6789039123526885
1994-10-06,4.667593351342241
1994-10-07,4.661527197388186
1994-10-10,4.629692833410698
1994-10-11,4.628464285205944
1994-10-12,4.655758201599368
1994-10-13,4.635591908854792
1994-10-14,4.693939691759145
1994-10-17,4.735194609784734
1994-10-18,4.713132420595824
1994-10-19,4.760364591996804
1994-10-20,4.767396827874647
1994-10-21,4.7637673186374
1994-10-24,4.761002421888865
1994-10-25,4.772302812711695
1994-10-26,4.781224319528204
1994-10-27,4.759557609975916
1994-10-28,4.729956544927628
1994-10-31,4.739182048912588
1994-11-01,4.754455111377618
1994-11-02,4.775413940499105
1994-11-03,4.736759128034756
1994-11-04,4.749149205546709
1994-11-07,4.786688729764549
1994-11-08,4.788088444985301
1994-11-09,4.7243408947884795
1994-11-10,4.697342430238211
1994-11-11,4.708438294455397
1994-11-14,4.698043534421436
1994-11-15,4.686460105942357
1994-11-16,4.732445765556312
1994-11-17,4.764520678564757
1994-11-18,4.732590664852234
1994-11-21,4.7134445393037
1994-11-22,4.658954278987128
1994-11-23,4.581204932297591
1994-11-24,4.583477091619193
1994-11-25,4.586039982801704
1994-11-28,4.645222985542416
1994-11-29,4.690975410645772
1994-11-30,4.701651606663854
1994-12-01,4.698538015618937
1994-12-02,4.679119151930897
1994-12-05,4.685932349368207
1994-12-06,4.677660622788746
1994-12-07,4.686788636146308
1994-12-08,4.657366509999508
1994-12-09,4.640689564111465
1994-12-12,4.65736211374792
1994-12-13,4.699185476134947
1994-12-14,4.687936527940568
1994-12-15,4.711420949549832
1994-12-16,4.702789574995576
1994-12-19,4.714273025593282
1994-12-20,4.786026399863206
1994-12-21,4.7582319873949395
1994-12-22,4.780377345869123
1994-12-23,4.8155539298526175
1994-12-26,4.818650537350106
1994-12-27,4.820373142868957
1994-12-28,4.842460223237444
1994-12-29,4.87655943713985
1994-12-30,4.868681430286216
1995-01-02,4.876436406239918
1995-01-03,4.867408455035882
1995-01-04,4.856214119542556
1995-01-05,4.886457087065426
1995-01-06,4.873501712628812
